file_name,products_count,error
everythingkitchens_tabletop_11.20.23_filtered.csv,3928.0,
ryanspet_dental-care_12.13.23_filtered.csv,6.0,
nrsworld_clearance-markdown_1.8.24.csv,40.0,
carealotpets_bird-supplies_12.13.23_filtered.csv,178.0,
petco_dog-food_1.8.24.csv,0.0,
walmart_transformers-action-figures_1.9.24.csv,649.0,
ryanspet_outdoor-pet_12.13.23_filtered.csv,6.0,
dollargeneral_apparel_12.13.23_filtered.csv,519.0,
walmart_stuffed-plush-toys_1.9.24.csv,1091.0,
entertainmenthealth_tops_1.7.24.csv,144.0,
walmart_funko-plush_1.8.24.csv,180.0,
entertainmenthealth_tshirts_1.7.24.csv,182.0,
walmart_arts-crafts-kids_1.8.24.csv,1055.0,
sandcloud_blankets_12.13.23_filtered.csv,1.0,
dickssportinggoods_yard-games_1.9.24.csv,47.0,
dickssportinggoods_NFL-sale_1.8.24.csv,6000.0,
tacticalgear_clothing_1.8.24.csv,1152.0,
walmart_baby-shoes_1.8.24.csv,461.0,
ryanspet_eyecare_12.13.23_filtered.csv,11.0,
bathandunwind_men_1.9.24.csv,0.0,
walmart_swimming_1.9.24.csv,1088.0,
petco_small-animal-accessories_1.8.24.csv,0.0,
walmart_STEAM_1.9.24.csv,1001.0,
walmart_wet-catfood_1.9.24.csv,651.0,
dickssportinggoods_mens_1.8.24.csv,12864.0,
walmart_young-adult-accessories_1.9.24.csv,1001.0,
shoprescuespa_hair-makeup_1.8.24.csv,300.0,
sanrio_bags-accessories_1.8.24.csv,40.0,
entertainmenthealth_wallets_1.7.24.csv,440.0,
dickssportinggoods_sale_1.8.24.csv,,missing column! local variable 'price' referenced before assignment
walmart_girls-shoes_1.8.24.csv,1000.0,
pickleballcentral_balls_1.9.24.csv,0.0,
dollargeneral_beauty_12.13.23_filtered.csv,1884.0,
sierra_women_1.7.24.csv,3677.0,
dickssportinggoods_nutrition-supplements_1.8.24.csv,149.0,
officedepot_cleaning_11.20.23_filtered.csv,7928.0,
tacticalgear_equipment_1.8.24.csv,2256.0,
cherrybook.com_cat_1_filtered.csv,135.0,
nrsworld_ropes_1.8.24.csv,48.0,
ryanspet_clippers-accessories_12.13.23_filtered.csv,6.0,
tactics_accessories_1.8.24.csv,546.0,
dickssportinggoods_womens-shoes_1.9.24.csv,58.0,
everythingkitchens_kitchen-gadgets-tools-accessories-kitchenware_11.20.23_filtered.csv,3406.0,
walmart_action-role-play_1.8.24.csv,1001.0,
walmart_socks_1.9.24.csv,1001.0,
netrition_sports-nutrition_1.8.24.csv,25.0,
ryanspet_supplements_12.13.23_filtered.csv,6.0,
tiptopshoes.com_collections_boys_24112023_filtered.csv,160.0,
sanrio_apparel_1.8.24.csv,34.0,
tiptopshoes.com_collections_girls_24112023_filtered.csv,160.0,
walmart_blaster-toys_1.8.24.csv,428.0,
rticoutdoors_outdoor-gears_12.13.23_filtered.csv,14.0,
cherrybook.com_filtered.csv,32.0,
sandcloud_towels_12.13.23_filtered.csv,1.0,
netrition_glutenfree_12.13.23_filtered.csv,1065.0,
dollargeneral_personal-care_12.13.23_filtered.csv,1109.0,
nrsworld_women_1.8.24.csv,43.0,
petco_catfood-treat-deals_1.8.24.csv,461.0,
dollargeneral_sale_12.14.23_filtered.csv,948.0,
pyramydair_2_filtered.csv,1045.0,
walmart_sports-toys_1.9.24.csv,1000.0,
petco_clearance_1.8.24.csv,912.0,
shoprescuespa_readytowear_1.8.24.csv,273.0,
walmart_puzzles_1.9.24.csv,1324.0,
dickssportinggoods_hygiene-personal-care_1.8.24.csv,54.0,
sandcloud_last-chance_12.13.23_filtered.csv,1.0,
netrition_herbs_12.13.23_filtered.csv,50.0,
netrition_diet-weightloss_1.8.24.csv,781.0,
petco_dog-deals_1.8.24.csv,2758.0,
torrid_dresses_1.8.24.csv,180.0,
teeturtle_all-plushies_1.9.24.csv,0.0,
dollargeneral_pet_12.14.23_filtered.csv,605.0,
petco_aquarium_decor_1.8.24.csv,0.0,
sanrio_plush-toys_1.8.24.csv,32.0,
